,Object,Sequence,Filling type
607,6,s2_fi1_fu2_b1_l1,1
608,6,s2_fi2_fu1_b0_l0,2
609,6,s2_fi2_fu1_b0_l1,2
610,6,s2_fi2_fu1_b1_l0,2
611,6,s2_fi2_fu1_b1_l1,2
612,6,s2_fi2_fu2_b0_l0,2
613,6,s2_fi2_fu2_b0_l1,2
614,6,s2_fi2_fu2_b1_l0,2
615,6,s2_fi2_fu2_b1_l1,2
616,6,s2_fi3_fu1_b0_l0,3
617,6,s2_fi3_fu1_b0_l1,3
618,6,s2_fi3_fu1_b1_l0,3
619,6,s2_fi3_fu1_b1_l1,3
620,6,s2_fi3_fu2_b0_l0,3
621,6,s2_fi3_fu2_b0_l1,3
622,6,s2_fi3_fu2_b1_l0,3
623,6,s2_fi3_fu2_b1_l1,3
624,9,s0_fi0_fu0_b0_l0,0
625,9,s0_fi0_fu0_b0_l1,0
626,9,s0_fi0_fu0_b1_l0,0
627,9,s0_fi0_fu0_b1_l1,0
628,9,s0_fi1_fu1_b0_l0,1
629,9,s0_fi1_fu1_b0_l1,1
630,9,s0_fi1_fu1_b1_l0,1
631,9,s0_fi1_fu1_b1_l1,1
632,9,s0_fi1_fu2_b0_l0,1
633,9,s0_fi1_fu2_b0_l1,1
634,9,s0_fi1_fu2_b1_l0,1
635,9,s0_fi1_fu2_b1_l1,1
636,9,s0_fi2_fu1_b0_l0,1
637,9,s0_fi2_fu1_b0_l1,2
638,9,s0_fi2_fu1_b1_l0,2
639,9,s0_fi2_fu1_b1_l1,2
640,9,s0_fi2_fu2_b0_l0,2
641,9,s0_fi2_fu2_b0_l1,2
642,9,s0_fi2_fu2_b1_l0,2
643,9,s0_fi2_fu2_b1_l1,2
644,9,s1_fi0_fu0_b0_l0,0
645,9,s1_fi0_fu0_b0_l1,0
646,9,s1_fi0_fu0_b1_l0,0
647,9,s1_fi0_fu0_b1_l1,0
648,9,s1_fi1_fu1_b0_l0,1
649,9,s1_fi1_fu1_b0_l1,1
650,9,s1_fi1_fu1_b1_l0,1
651,9,s1_fi1_fu1_b1_l1,1
652,9,s1_fi1_fu2_b0_l0,1
653,9,s1_fi1_fu2_b0_l1,1
654,9,s1_fi1_fu2_b1_l0,1
655,9,s1_fi1_fu2_b1_l1,1
656,9,s1_fi2_fu1_b0_l0,2
657,9,s1_fi2_fu1_b0_l1,1
658,9,s1_fi2_fu1_b1_l0,1
659,9,s1_fi2_fu1_b1_l1,1
660,9,s1_fi2_fu2_b0_l0,2
661,9,s1_fi2_fu2_b0_l1,1
662,9,s1_fi2_fu2_b1_l0,2
663,9,s1_fi2_fu2_b1_l1,2
664,9,s2_fi0_fu0_b0_l0,3
665,9,s2_fi0_fu0_b0_l1,0
666,9,s2_fi0_fu0_b1_l0,0
667,9,s2_fi0_fu0_b1_l1,0
668,9,s2_fi1_fu1_b0_l0,1
669,9,s2_fi1_fu1_b0_l1,1
670,9,s2_fi1_fu1_b1_l0,1
671,9,s2_fi1_fu1_b1_l1,1
672,9,s2_fi1_fu2_b0_l0,1
673,9,s2_fi1_fu2_b0_l1,1
674,9,s2_fi1_fu2_b1_l0,1
675,9,s2_fi1_fu2_b1_l1,1
676,9,s2_fi2_fu1_b0_l0,2
677,9,s2_fi2_fu1_b0_l1,1
678,9,s2_fi2_fu1_b1_l0,1
679,9,s2_fi2_fu1_b1_l1,1
680,9,s2_fi2_fu2_b0_l0,2
681,9,s2_fi2_fu2_b0_l1,1
682,9,s2_fi2_fu2_b1_l0,2
683,9,s2_fi2_fu2_b1_l1,2
